公司代號,公司名稱,市場別,財簽事務所,財簽會計師,[永續報告書] 狀態,[永續報告書] 申報日,[永續報告書] 有會計師確信,[永續報告書] 確信出具者,[永續報告書] 確信準則,[永續報告書] 確信等級,[永續報告書] 確信範圍,[永續報告書] 有第三方查證,[永續報告書] 查證機構,[永續報告書] 查證標準,[永續報告書] 確信者為安永,[溫室氣體] 已申報,[溫室氣體] 範疇一排放量,[溫室氣體] 範疇二排放量,[溫室氣體] 範疇一確信範圍,[溫室氣體] 範疇一確信意見,[溫室氣體] 有確信報告,[溫室氣體] 確信報告出具者,[溫室氣體] 出具者類型,[溫室氣體] 確信者為安永,【綜合】重疊態樣,【綜合】待補資料,資料來源,需人工確認
7715,裕山,上櫃,安永聯合會計師事務所,陳政初、洪國森,已出版,2026/08/27,否,,,,,否,,,無確信,是,"619,714.0000",192.3755,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=7715&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=7715&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
7718,友鋮,上櫃,安永聯合會計師事務所,洪國森、李芳文,已出版,2026/08/26,否,,,,,否,,,無確信,是,74.0590,381.0634,已完成合併財務報表之母子公司,合理保證等級,是,立恩威國際驗證股份有限公司（DNV）,驗證／查驗機構,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=7718&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=7718&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
7728,光焱科技,上櫃,安永聯合會計師事務所,陳政初、李芳文,已出版,2026/08/07,否,,,,,否,,,無確信,是,2.8309,141.3015,已完成合併財務報表之母子公司,合理保證等級,是,英國標準協會（BSI Taiwan）,驗證／查驗機構,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=7728&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=7728&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
7738,東聯互動,上櫃,安永聯合會計師事務所,呂倩雯、余倩如,已出版,2026/08/28,否,,,,,否,,,無確信,是,0.0000,33.9743,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=7738&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=7738&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
7744,崴寶,上櫃,安永聯合會計師事務所,黃宇廷、黃子評,已出版,2026/08/24,是,安永聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,依所屬產業之永續指標選定5項作為確信標的,否,,,是,是,25.2921,"3,594.5854",N/A,,否,,,無確信,僅永續報告書確信重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=7744&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=7744&year=2025&lang=zh-TW,否
7749,意騰-KY,上市,安永聯合會計師事務所,胡慎緁、邱琬茹,已出版,2026/08/27,否,,,,,否,,,無確信,是,1.9589,263.7957,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=7749&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=7749&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
7750,新代,上市,安永聯合會計師事務所,邱琬茹、胡慎緁,已出版,2026/08/13,是,Deloitte 勤業眾信聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,"永續報告書符合GRI永續性報導準則, 永續會計準則委員會(SASB)之行業指標",否,,,否,是,114.8136,852.1477,已完成母公司,合理保證等級,是,台灣德國北德技術監護顧問股份有限公司（TÜV NORD）,驗證／查驗機構,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=7750&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=7750&year=2025&lang=zh-TW,否
7811,民盛,上櫃,安永聯合會計師事務所,張巧穎、黃子評,尚未出版,,不適用,,,,,不適用,,,不適用,是,17.2802,291.5744,N/A,,否,,,無確信,無重疊,永續報告書未出版；溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=7811&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=7811&year=2025&lang=zh-TW,否
7822,倍利科,上市,安永聯合會計師事務所,邱琬茹、許新民,已出版,2026/08/19,否,,,,,否,,,無確信,是,33.0845,903.4297,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=7822&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=7822&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
8039,台虹,上市,安永聯合會計師事務所,洪國森、鄭清標,已出版,2026/08/27,是,青山永續聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,"永續報告書符合GRI永續性報導準則, 永續會計準則委員會(SASB)之行業指標",否,,,否,是,"9,674.5765","18,938.5615",N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=8039&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=8039&year=2025&lang=zh-TW,否
